Request_Number:,Request_Type:,Source,Summary_of_Request:,Decision,OBJECTID
2014001,Personal Information,Individual by Agent,"Copy of Ontario Works client file for {name removed} from January 9, 2009 to date.",No record exists,0
2014002,General Records,Individual by Agent,"Camera recording at {address removed} from September 24, 2013.",No record exists,1
2014003,General Records,Media,"Records related to the dismissal of {name and position removed} in March 2013, including compensation paid in 2013 and severance.",Nothing disclosed,2
2014004,Personal Information,Individual by Agent,A complete copy of Ontario Works client file for {name removed}.,All disclosed,3
2014005,Personal Information,Individual by Agent,A complete copy of Ontario Works client file for {name removed}.,All disclosed,4
2014006,Personal Information,Individual by Agent,A complete copy of Ontario Works client file for {name removed}.,Withdrawn,5
2014007,Personal Information,Individual by Agent,A complete copy of Ontario Works client file for {name removed}.,All disclosed,6
2014008,General Records,Business,Phase I environemntal site assesment for {address removed}.,Withdrawn,7
2014009,General Records,Business,1998 Reconnaissance TCE Investigation for {address removed} and report URS R-A-DA-98-02. ,All disclosed,8
2014010,Personal Information,Individual by Agent,A complete copy of Ontario Works client file for {name removed}.,Non-existent,9
2014011,Personal Information,Individual by Agent,A complete copy of Ontario Works client file for {name removed}.,Non-existent,10
2014012,Personal Information,Individual by Agent,A complete copy of Ontario Works client file for {name removed}.,Withdrawn,11
2014013,Personal Information,Individual by Agent,A complete copy of Ontario Works client file for {name removed}.,All disclosed,12
2014014,General Records,Public,"Financial reporting, statements and audits for {business removed} from 2009 to 2013 including correspondence.",Partly non-existent,13
2014015,Personal Information,Individual by Agent,A complete copy of Ontario Works client file for {name removed}.,All disclosed,14
2014016,General Records,Public,Any and all records related to {organization name removed} from 2001 to present.  ,Nothing disclosed,15
2014017,Personal Information,Individual by Agent,A complete copy of Ontario Works client file for {name removed}.,Partly non-existent,16
2014018,Personal Information,Individual by Agent,A complete copy of Ontario Works client file for {name removed}.,Partly exempted,17
2014019,Personal Information,Individual by Agent,A complete copy of Ontario Works client file for {name removed}.,Partly exempted,18
2014020,General Records,Public,All correspondence between the Region of Waterloo and {name removed} from September 2012 to present that relates to {name removed}  or {orgnization name removed}.,Partly exempted,19
2014021,General Records,Public,All records related to the possiblity of making a complaint to the {orgnization name removed} about {name removed}or {organization name removed}.,Nothing disclosed,20
2014022,General Records,Public,Any and all correspondence between the Regional of Waterloo and any of the following individuals from September 2012 to present: {names removed}.,Partly exempted,21
2014023,General Records,Media,Project agreement between Region of Waterloo and GrandLinq.,Partly exempted,22
2014024,Personal Information,Individual by Agent,A complete copy of Ontario Works client file for {name removed}.,All disclosed ,23
2014025,Personal Information,Individual by Agent,Video surveillance relating to accident occurring on {date removed} at the GRT Bus Terminal in Cambridge.,Partly exempted,24
2014026,Personal Information,Public,GRT Bus 2416 outside video footage from {date removed} at 2:00 pm.,All disclosed,25
2014027,Personal Information,Individual by Agent,A complete copy of Ontario Works client file for {name removed}.,Partly exempted,26
2014028,Personal Information,Public,GRT Bus 2416 outside video footage from {date removed} at 2:00 pm.,All disclosed ,27
2014029,Personal Information,Individual by Agent,"Notes of the nurse/employee who visited {name removed} on {date removed} with a police officer; notes of any other Regional employee regarding this incident; any witness statements; any evidence relied on by Regional employees; any occurrence report or summary report prepared by Regional employees; any photograph or video from the scene of the incident; any other report, document, summary of the incident; all records regarding this incident in the possession of the Region.",Non-existent,28
2014030,General Records,Individual by Agent,A file search for tobacco on {company name and address removed},All disclosed,29
